period,ESRCUUS,ESCMUUS,ESICUUS,ESTCUUS,NGRCUUS,NGCCUUS,NGINUUS,gas_total,NGEPPUS,NGTCPUS,REPRBUS,RETCBUS
2000-01,7.66,6.93,4.31,6.4,6.37,5.77,3.41,5.18,369.155,2532.443,505.154,505.528
2000-02,7.71,6.96,4.32,6.39,6.54,5.95,3.68,5.39,327.413,2340.654,499.963,498.999
2000-03,8.09,7.03,4.31,6.44,6.91,5.78,3.54,5.41,395.931,2085.459,558.01,558.482
2000-04,8.15,7.05,4.32,6.43,7.19,6.03,3.59,5.6,406.375,1827.336,568.53,567.156
2000-05,8.34,7.25,4.51,6.64,8.26,5.97,3.67,5.97,566.887,1736.144,558.73,558.834
2000-06,8.56,7.7,4.75,7.06,9.5,6.49,4.24,6.74,563.812,1615.904,509.12,507.753
2000-07,8.61,7.76,4.95,7.25,10.32,6.55,4.55,7.14,675.911,1671.158,526.269,525.603
2000-08,8.63,7.93,5.07,7.34,10.37,6.08,4.33,6.93,742.921,1813.262,503.692,505.433
2000-09,8.51,7.73,4.84,7.11,10.1,6.92,4.88,7.3,523.758,1563.151,443.382,443.558
2000-10,8.49,7.67,4.74,6.94,9.44,7.48,5.45,7.46,405.838,1610.054,468.22,469.441
2000-11,8.15,7.34,4.59,6.66,8.58,7.57,5.39,7.18,349.873,1928.879,482.871,484.435
2000-12,7.82,7.52,4.88,6.85,8.56,8.2,6.67,7.81,363.609,2608.675,477.789,479.073
2001-01,7.73,7.25,4.75,6.75,10.12,9.5,8.84,9.49,380.142,2676.998,444.974,447.075
2001-02,8.04,7.51,4.81,6.87,10.26,9.8,7.21,9.09,347.939,2309.464,404.073,404.487
2001-03,8.32,7.7,4.87,7.01,9.85,9.14,6.3,8.43,402.383,2246.633,455.786,456.144
2001-04,8.46,7.73,4.87,7.02,10.16,9.01,6.08,8.42,422.486,1807.17,425.372,424.544
2001-05,8.83,7.77,5.0,7.17,11.14,9.19,5.46,8.6,473.896,1522.382,435.524,434.878
2001-06,9.07,8.13,5.23,7.58,11.58,8.5,4.75,8.28,532.482,1444.378,454.623,451.271
2001-07,9.03,8.41,5.56,7.87,11.22,7.9,4.1,7.74,678.341,1598.071,436.074,438.449
2001-08,9.01,8.35,5.49,7.84,10.89,7.61,3.99,7.5,732.863,1669.178,447.91,445.566
2001-09,8.92,8.22,5.3,7.62,10.17,6.96,3.5,6.88,552.78,1494.128,396.476,395.84
2001-10,8.84,8.27,5.06,7.43,8.24,6.39,3.18,5.94,509.011,1649.073,409.925,412.281
2001-11,8.48,7.73,4.78,7.02,7.98,6.79,3.88,6.22,389.977,1700.95,401.777,401.022
2001-12,8.29,7.66,4.78,7.03,7.3,6.35,3.69,5.78,410.005,2120.198,449.333,448.485
2002-01,8.07,7.49,4.73,6.95,7.38,6.51,4.05,5.98,423.766,2487.638,476.548,475.003
2002-02,8.19,7.68,4.76,6.97,7.23,6.4,3.7,5.78,380.881,2242.427,428.362,428.8
2002-03,8.17,7.72,4.73,6.95,7.1,6.28,3.78,5.72,447.756,2258.431,459.471,456.504
2002-04,8.37,7.68,4.73,6.95,7.66,6.56,3.64,5.95,439.403,1880.985,488.519,488.033
2002-05,8.64,7.84,4.78,7.11,8.54,6.68,4.07,6.43,452.798,1611.453,527.657,527.257
2002-06,8.73,8.18,5.03,7.45,9.58,6.8,3.86,6.75,589.291,1591.373,533.58,533.013
